k1	b	k3	MAP
1.7	0.8	400	0.648377
1.7	0.8	500	0.648377
1.7	0.8	600	0.648377
1.7	0.8	700	0.648377
1.7	0.8	800	0.648377
1.7	0.85	200	0.65372
1.7	0.85	300	0.65372
1.7	0.85	400	0.65372
1.7	0.85	500	0.65372
1.7	0.85	600	0.65372
1.7	0.85	700	0.65372
1.7	0.85	800	0.65372
1.7	0.9	200	0.653768
1.7	0.9	300	0.653768
1.7	0.9	400	0.653768
1.7	0.9	500	0.653768
1.7	0.9	600	0.653768
1.7	0.9	700	0.653768
1.7	0.9	800	0.653768
1.7	0.95	200	0.653006
1.7	0.95	300	0.653006
1.7	0.95	400	0.653006
1.7	0.95	500	0.653006
1.7	0.95	600	0.653006
1.7	0.95	700	0.653006
1.7	0.95	800	0.653006
1.7	1	200	0.646003
1.7	1	300	0.646003
1.7	1	400	0.646003
1.7	1	500	0.646003
1.7	1	600	0.646003
1.7	1	700	0.646003
1.7	1	800	0.646003
1.7	1.5	200	0.445995
1.7	1.5	300	0.445995
1.7	1.5	400	0.445995
1.7	1.5	500	0.445995
1.7	1.5	600	0.445995
1.7	1.5	700	0.445995
1.7	1.5	800	0.445995
1.7	2	200	0.15747
1.7	2	300	0.15747
1.7	2	400	0.15747
1.7	2	500	0.15747
1.7	2	600	0.15747
1.7	2	700	0.15747
1.7	2	800	0.15747
1.7	3	200	0.086865
1.7	3	300	0.086865
1.7	3	400	0.086865
1.7	3	500	0.086865
1.7	3	600	0.086865
1.7	3	700	0.086865
1.7	3	800	0.086865
1.8	0.6	200	0.640832
1.8	0.6	300	0.640832
1.8	0.6	400	0.640832
1.8	0.6	500	0.640832
1.8	0.6	600	0.640832
1.8	0.6	700	0.640832
1.8	0.6	800	0.640832
1.8	0.65	200	0.648287
1.8	0.65	300	0.648287
1.8	0.65	400	0.648287
1.8	0.65	500	0.648287
1.8	0.65	600	0.648287
1.8	0.65	700	0.648287
1.8	0.65	800	0.648287
1.8	0.7	200	0.650687
1.8	0.7	300	0.650687
1.8	0.7	400	0.650687
1.8	0.7	500	0.650687
1.8	0.7	600	0.650687
1.8	0.7	700	0.650687
1.8	0.7	800	0.650687
1.8	0.75	200	0.649542
1.8	0.75	300	0.649542
1.8	0.75	400	0.649542
1.8	0.75	500	0.649542
1.8	0.75	600	0.649542
1.8	0.75	700	0.649542
1.8	0.75	800	0.649542
1.8	0.8	200	0.650875
1.8	0.8	300	0.650875
1.8	0.8	400	0.650875
1.8	0.8	500	0.650875
1.8	0.8	600	0.650875
1.8	0.8	700	0.650875
1.8	0.8	800	0.650875
1.8	0.85	200	0.654935
1.8	0.85	300	0.654935
1.8	0.85	400	0.654935
1.8	0.85	500	0.654935
1.8	0.85	600	0.654935
1.8	0.85	700	0.654935
1.8	0.85	800	0.654935
1.8	0.9	200	0.655662
1.8	0.9	300	0.655662
1.8	0.9	400	0.655662
1.8	0.9	500	0.655662
1.8	0.9	600	0.655662
1.8	0.9	700	0.655662
1.8	0.9	800	0.655662
1.8	0.95	200	0.65424
1.8	0.95	300	0.65424
1.8	0.95	400	0.65424
1.8	0.95	500	0.65424
1.8	0.95	600	0.65424
1.8	0.95	700	0.65424
1.8	0.95	800	0.65424
1.8	1	200	0.646281
1.8	1	300	0.646281
1.8	1	400	0.646281
1.8	1	500	0.646281
1.8	1	600	0.646281
1.8	1	700	0.646281
1.8	1	800	0.646281
1.8	1.5	200	0.442393
1.8	1.5	300	0.442393
1.8	1.5	400	0.442393
1.8	1.5	500	0.442393
1.8	1.5	600	0.442393
1.8	1.5	700	0.442393
1.8	1.5	800	0.442393
1.8	2	200	0.153666
1.8	2	300	0.153666
1.8	2	400	0.153666
1.8	2	500	0.153666
1.8	2	600	0.153666
1.8	2	700	0.153666
1.8	2	800	0.153666
1.8	3	200	0.084373
1.8	3	300	0.084373
1.8	3	400	0.084373
1.8	3	500	0.084373
1.8	3	600	0.084373
1.8	3	700	0.084373
1.8	3	800	0.084373
1.9	0.6	200	0.639469
