s	mu	alpha	lambda	MAP
0.3	100	0.2	0.3	0.510939
0.3	500	0.2	0.3	0.537643
0.3	1000	0.2	0.3	0.556318
0.3	2000	0.2	0.3	0.572505
0.3	5000	0.2	0.3	0.575553
0.3	10000	0.2	0.3	0.564376
0.35	100	0.2	0.3	0.528712
0.35	500	0.2	0.3	0.550919
0.35	1000	0.2	0.3	0.568625
0.35	2000	0.2	0.3	0.583171
0.35	5000	0.2	0.3	0.587908
0.35	10000	0.2	0.3	0.572836
0.4	100	0.2	0.3	0.545488
0.4	500	0.2	0.3	0.567584
0.4	1000	0.2	0.3	0.580915
0.4	2000	0.2	0.3	0.59638
0.4	5000	0.2	0.3	0.594307
0.4	10000	0.2	0.3	0.584717
0.1	100	0.2	0.4	0.437148
0.1	500	0.2	0.4	0.486496
0.1	1000	0.2	0.4	0.506057
0.1	2000	0.2	0.4	0.525607
0.1	5000	0.2	0.4	0.539165
0.1	10000	0.2	0.4	0.527636
0.15	100	0.2	0.4	0.472943
0.15	500	0.2	0.4	0.507759
0.15	1000	0.2	0.4	0.527437
0.15	2000	0.2	0.4	0.548287
0.15	5000	0.2	0.4	0.55573
0.15	10000	0.2	0.4	0.547047
0.2	100	0.2	0.4	0.501536
0.2	500	0.2	0.4	0.531477
0.2	1000	0.2	0.4	0.548192
0.2	2000	0.2	0.4	0.566678
0.2	5000	0.2	0.4	0.570178
0.2	10000	0.2	0.4	0.559376
0.25	100	0.2	0.4	0.52672
0.25	500	0.2	0.4	0.549442
0.25	1000	0.2	0.4	0.566164
0.25	2000	0.2	0.4	0.581565
0.25	5000	0.2	0.4	0.587081
0.25	10000	0.2	0.4	0.572907
0.3	100	0.2	0.4	0.547892
0.3	500	0.2	0.4	0.568435
0.3	1000	0.2	0.4	0.582692
0.3	2000	0.2	0.4	0.598969
0.3	5000	0.2	0.4	0.59771
0.3	10000	0.2	0.4	0.588341
0.35	100	0.2	0.4	0.566399
0.35	500	0.2	0.4	0.584858
0.35	1000	0.2	0.4	0.602303
0.35	2000	0.2	0.4	0.61255
0.35	5000	0.2	0.4	0.607635
0.35	10000	0.2	0.4	0.596207
0.4	100	0.2	0.4	0.57648
0.4	500	0.2	0.4	0.599068
0.4	1000	0.2	0.4	0.613525
0.4	2000	0.2	0.4	0.627398
0.4	5000	0.2	0.4	0.616982
0.4	10000	0.2	0.4	0.603412
0.1	100	0.2	0.5	0.459314
0.1	500	0.2	0.5	0.499946
0.1	1000	0.2	0.5	0.517566
0.1	2000	0.2	0.5	0.537273
0.1	5000	0.2	0.5	0.550751
0.1	10000	0.2	0.5	0.539133
0.15	100	0.2	0.5	0.497429
0.15	500	0.2	0.5	0.526073
0.15	1000	0.2	0.5	0.545346
0.15	2000	0.2	0.5	0.564706
0.15	5000	0.2	0.5	0.568
0.15	10000	0.2	0.5	0.557875
0.2	100	0.2	0.5	0.528846
0.2	500	0.2	0.5	0.550641
