s	mu	alpha	lambda	MAP
0.35	1000	0.2	0.4	0.534552
0.35	2000	0.2	0.4	0.53432
0.35	5000	0.2	0.4	0.495559
0.4	500	0.2	0.4	0.524754
0.4	1000	0.2	0.4	0.544619
0.4	2000	0.2	0.4	0.53909
0.4	5000	0.2	0.4	0.497143
0.1	500	0.2	0.5	0.450829
0.1	1000	0.2	0.5	0.475036
0.1	2000	0.2	0.5	0.480326
0.1	5000	0.2	0.5	0.46671
0.15	500	0.2	0.5	0.469924
0.15	1000	0.2	0.5	0.491859
0.15	2000	0.2	0.5	0.49689
0.15	5000	0.2	0.5	0.478901
0.2	500	0.2	0.5	0.489197
0.2	1000	0.2	0.5	0.516176
0.2	2000	0.2	0.5	0.512382
0.2	5000	0.2	0.5	0.484219
0.25	500	0.2	0.5	0.509181
0.25	1000	0.2	0.5	0.529211
0.25	2000	0.2	0.5	0.529083
0.25	5000	0.2	0.5	0.493363
0.3	500	0.2	0.5	0.522593
0.3	1000	0.2	0.5	0.542294
0.3	2000	0.2	0.5	0.537519
0.3	5000	0.2	0.5	0.497149
0.35	500	0.2	0.5	0.534798
0.35	1000	0.2	0.5	0.552918
0.35	2000	0.2	0.5	0.544825
0.35	5000	0.2	0.5	0.500979
0.4	500	0.2	0.5	0.547034
0.4	1000	0.2	0.5	0.566123
0.4	2000	0.2	0.5	0.557745
0.4	5000	0.2	0.5	0.504852
0.1	500	0.2	0.6	0.459727
0.1	1000	0.2	0.6	0.484803
0.1	2000	0.2	0.6	0.488695
0.1	5000	0.2	0.6	0.472078
0.15	500	0.2	0.6	0.483899
0.15	1000	0.2	0.6	0.508534
0.15	2000	0.2	0.6	0.50706
0.15	5000	0.2	0.6	0.482268
0.2	500	0.2	0.6	0.507814
0.2	1000	0.2	0.6	0.527339
0.2	2000	0.2	0.6	0.52779
0.2	5000	0.2	0.6	0.49147
0.25	500	0.2	0.6	0.524527
0.25	1000	0.2	0.6	0.543261
0.25	2000	0.2	0.6	0.537853
0.25	5000	0.2	0.6	0.49669
0.3	500	0.2	0.6	0.539437
0.3	1000	0.2	0.6	0.557164
0.3	2000	0.2	0.6	0.548351
0.3	5000	0.2	0.6	0.502933
0.35	500	0.2	0.6	0.553407
0.35	1000	0.2	0.6	0.57277
0.35	2000	0.2	0.6	0.561479
0.35	5000	0.2	0.6	0.503381
0.4	500	0.2	0.6	0.568695
0.4	1000	0.2	0.6	0.581667
0.4	2000	0.2	0.6	0.56563
0.4	5000	0.2	0.6	0.507137
0.1	500	0.2	0.7	0.468542
0.1	1000	0.2	0.7	0.490736
0.1	2000	0.2	0.7	0.49537
0.1	5000	0.2	0.7	0.477728
0.15	500	0.2	0.7	0.49662
0.15	1000	0.2	0.7	0.522366
0.15	2000	0.2	0.7	0.520546
0.15	5000	0.2	0.7	0.488158
0.2	500	0.2	0.7	0.521624
0.2	1000	0.2	0.7	0.539566
0.2	2000	0.2	0.7	0.537543
0.2	5000	0.2	0.7	0.49654
0.25	500	0.2	0.7	0.537826
0.25	1000	0.2	0.7	0.556389
0.25	2000	0.2	0.7	0.547574
0.25	5000	0.2	0.7	0.503014
0.3	500	0.2	0.7	0.556252
0.3	1000	0.2	0.7	0.573121
0.3	2000	0.2	0.7	0.560312
0.3	5000	0.2	0.7	0.506553
0.35	500	0.2	0.7	0.571427
0.35	1000	0.2	0.7	0.583535
0.35	2000	0.2	0.7	0.573343
0.35	5000	0.2	0.7	0.506616
0.4	500	0.2	0.7	0.586265
0.4	1000	0.2	0.7	0.5954
0.4	2000	0.2	0.7	0.577029
0.4	5000	0.2	0.7	0.502311
0.1	500	0.2	0.8	0.475903
0.1	1000	0.2	0.8	0.502065
0.1	2000	0.2	0.8	0.500637
0.1	5000	0.2	0.8	0.48034
0.15	500	0.2	0.8	0.511739
0.15	1000	0.2	0.8	0.528637
0.15	2000	0.2	0.8	0.528732
0.15	5000	0.2	0.8	0.491781
0.2	500	0.2	0.8	0.532394
0.2	1000	0.2	0.8	0.551252
0.2	2000	0.2	0.8	0.541524
0.2	5000	0.2	0.8	0.499469
0.25	500	0.2	0.8	0.553879
0.25	1000	0.2	0.8	0.569766
0.25	2000	0.2	0.8	0.558251
0.25	5000	0.2	0.8	0.503976
0.3	500	0.2	0.8	0.570464
0.3	1000	0.2	0.8	0.583497
0.3	2000	0.2	0.8	0.565782
0.3	5000	0.2	0.8	0.506874
0.35	500	0.2	0.8	0.58652
0.35	1000	0.2	0.8	0.596614
0.35	2000	0.2	0.8	0.579547
0.35	5000	0.2	0.8	0.500303
0.4	500	0.2	0.8	0.602129
0.4	1000	0.2	0.8	0.606878
0.4	2000	0.2	0.8	0.57992
0.4	5000	0.2	0.8	0.49629
0.1	500	0.2	0.9	0.485814
0.1	1000	0.2	0.9	0.512663
0.1	2000	0.2	0.9	0.508622
0.1	5000	0.2	0.9	0.486214
0.15	500	0.2	0.9	0.520623
0.15	1000	0.2	0.9	0.536761
0.15	2000	0.2	0.9	0.536088
0.15	5000	0.2	0.9	0.496071
0.2	500	0.2	0.9	0.543581
0.2	1000	0.2	0.9	0.562369
0.2	2000	0.2	0.9	0.553901
0.2	5000	0.2	0.9	0.500934
0.25	500	0.2	0.9	0.565701
0.25	1000	0.2	0.9	0.578636
0.25	2000	0.2	0.9	0.562346
0.25	5000	0.2	0.9	0.506433
0.3	500	0.2	0.9	0.583105
0.3	1000	0.2	0.9	0.593149
0.3	2000	0.2	0.9	0.578254
0.3	5000	0.2	0.9	0.501036
0.35	500	0.2	0.9	0.601487
0.35	1000	0.2	0.9	0.605161
0.35	2000	0.2	0.9	0.579662
0.35	5000	0.2	0.9	0.496785
0.4	500	0.2	0.9	0.612604
0.4	1000	0.2	0.9	0.616134
0.4	2000	0.2	0.9	0.581426
0.4	5000	0.2	0.9	0.494915
0.1	500	0.3	0.1	0.431994
0.1	1000	0.3	0.1	0.450712
0.1	2000	0.3	0.1	0.457253
0.1	5000	0.3	0.1	0.458796
0.15	500	0.3	0.1	0.434623
0.15	1000	0.3	0.1	0.454363
0.15	2000	0.3	0.1	0.460445
0.15	5000	0.3	0.1	0.460749
0.2	500	0.3	0.1	0.437734
0.2	1000	0.3	0.1	0.456494
0.2	2000	0.3	0.1	0.46517
0.2	5000	0.3	0.1	0.462906
0.25	500	0.3	0.1	0.441768
0.25	1000	0.3	0.1	0.459023
0.25	2000	0.3	0.1	0.468104
0.25	5000	0.3	0.1	0.464977
0.3	500	0.3	0.1	0.444346
0.3	1000	0.3	0.1	0.461557
0.3	2000	0.3	0.1	0.471952
0.3	5000	0.3	0.1	0.467735
0.35	500	0.3	0.1	0.445993
0.35	1000	0.3	0.1	0.463725
0.35	2000	0.3	0.1	0.475996
0.35	5000	0.3	0.1	0.471985
0.4	500	0.3	0.1	0.449086
0.4	1000	0.3	0.1	0.466343
0.4	2000	0.3	0.1	0.477656
0.4	5000	0.3	0.1	0.474342
0.1	500	0.3	0.2	0.440096
0.1	1000	0.3	0.2	0.458932
0.1	2000	0.3	0.2	0.468093
0.1	5000	0.3	0.2	0.466683
0.15	500	0.3	0.2	0.447082
0.15	1000	0.3	0.2	0.465617
0.15	2000	0.3	0.2	0.477228
0.15	5000	0.3	0.2	0.473001
0.2	500	0.3	0.2	0.455258
